Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,29-03-2021,,,,,,,,
Gegevens beschikbaar:,14-10-1988,tot:,28-11-2005,,,,,,,,
Datum: ,29-03-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B21B0214,003,21BP0214,198085,518413,-30,26-08-1988,26-08-1988,23-04-1999,27,57,-2430,-2630
B21B0214,003,21BP0214,198085,518413,-29,23-04-1999,23-04-1999,14-12-2005,25,54,-2430,-2630


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B21B0214,003,14-10-1988,123,66,-96,,,,,,
B21B0214,003,27-10-1988,131,74,-104,,,,,,
B21B0214,003,15-11-1988,139,82,-112,,,,,,
B21B0214,003,28-11-1988,140,83,-113,,,,,,
B21B0214,003,14-12-1988,130,73,-103,,,,,,
B21B0214,003,28-12-1988,126,69,-99,,,,,,
B21B0214,003,13-01-1989,131,74,-104,,,,,,
B21B0214,003,27-01-1989,140,83,-113,,,,,,
B21B0214,003,14-02-1989,133,76,-106,,,,,,
B21B0214,003,28-02-1989,135,78,-108,,,,,,
B21B0214,003,14-03-1989,130,73,-103,,,,,,
B21B0214,003,28-03-1989,129,72,-102,,,,,,
B21B0214,003,14-04-1989,129,72,-102,,,,,,
B21B0214,003,28-04-1989,136,79,-109,,,,,,
B21B0214,003,16-05-1989,141,84,-114,,,,,,
B21B0214,003,29-05-1989,148,91,-121,,,,,,
B21B0214,003,14-07-1989,140,83,-113,,,,,,
B21B0214,003,01-09-1989,137,80,-110,,,,,,
B21B0214,003,14-09-1989,130,73,-103,,,,,,
B21B0214,003,28-09-1989,138,81,-111,,,,,,
B21B0214,003,13-10-1989,135,78,-108,,,,,,
B21B0214,003,14-11-1989,141,84,-114,,,,,,
B21B0214,003,28-11-1989,147,90,-120,,,,,,
B21B0214,003,14-12-1989,141,84,-114,,,,,,
B21B0214,003,28-12-1989,124,67,-97,,,,,,
B21B0214,003,14-01-1990,142,85,-115,,,,,,
B21B0214,003,29-01-1990,134,77,-107,,,,,,
B21B0214,003,15-02-1990,125,68,-98,,,,,,
B21B0214,003,28-02-1990,124,67,-97,,,,,,
B21B0214,003,14-03-1990,132,75,-105,,,,,,
B21B0214,003,28-03-1990,140,83,-113,,,,,,
B21B0214,003,13-04-1990,140,83,-113,,,,,,
B21B0214,003,27-04-1990,138,81,-111,,,,,,
B21B0214,003,14-05-1990,133,76,-106,,,,,,
B21B0214,003,28-05-1990,142,85,-115,,,,,,
B21B0214,003,14-08-1990,148,91,-121,,,,,,
B21B0214,003,28-08-1990,141,84,-114,,,,,,
B21B0214,003,14-09-1990,133,76,-106,,,,,,
B21B0214,003,27-09-1990,137,80,-110,,,,,,
B21B0214,003,14-10-1990,142,85,-115,,,,,,
B21B0214,003,28-10-1990,156,99,-129,,,,,,
B21B0214,003,14-11-1990,130,73,-103,,,,,,
B21B0214,003,28-11-1990,120,63,-93,,,,,,
B21B0214,003,14-12-1990,132,75,-105,,,,,,
B21B0214,003,14-01-1991,124,67,-97,,,,,,
B21B0214,003,28-01-1991,146,89,-119,,,,,,
B21B0214,003,14-02-1991,150,93,-123,,,,,,
B21B0214,003,28-02-1991,140,83,-113,,,,,,
B21B0214,003,14-03-1991,139,82,-112,,,,,,
B21B0214,003,15-04-1991,150,93,-123,,,,,,
B21B0214,003,29-04-1991,145,88,-118,,,,,,
B21B0214,003,28-05-1991,134,77,-107,,,,,,
B21B0214,003,14-06-1991,135,78,-108,,,,,,
B21B0214,003,27-06-1991,119,62,-92,,,,,,
B21B0214,003,15-07-1991,127,70,-100,,,,,,
B21B0214,003,29-07-1991,133,76,-106,,,,,,
B21B0214,003,14-08-1991,142,85,-115,,,,,,
B21B0214,003,28-08-1991,150,93,-123,,,,,,
B21B0214,003,13-09-1991,148,91,-121,,,,,,
B21B0214,003,27-09-1991,140,83,-113,,,,,,
B21B0214,003,28-10-1991,145,88,-118,,,,,,
B21B0214,003,14-11-1991,126,69,-99,,,,,,
B21B0214,003,28-11-1991,137,80,-110,,,,,,
B21B0214,003,13-12-1991,146,89,-119,,,,,,
B21B0214,003,30-12-1991,141,84,-114,,,,,,
B21B0214,003,14-01-1992,130,73,-103,,,,,,
B21B0214,003,28-01-1992,145,88,-118,,,,,,
B21B0214,003,14-02-1992,141,84,-114,,,,,,
B21B0214,003,28-02-1992,147,90,-120,,,,,,
B21B0214,003,14-03-1992,140,83,-113,,,,,,
B21B0214,003,24-03-1992,130,73,-103,,,,,,
B21B0214,003,28-04-1992,136,79,-109,,,,,,
B21B0214,003,14-05-1992,143,86,-116,,,,,,
B21B0214,003,14-07-1992,149,92,-122,,,,,,
B21B0214,003,28-07-1992,154,97,-127,,,,,,
B21B0214,003,27-08-1992,139,82,-112,,,,,,
B21B0214,003,14-09-1992,134,77,-107,,,,,,
B21B0214,003,28-09-1992,145,88,-118,,,,,,
B21B0214,003,14-10-1992,148,91,-121,,,,,,
B21B0214,003,28-10-1992,133,76,-106,,,,,,
B21B0214,003,13-11-1992,132,75,-105,,,,,,
B21B0214,003,27-11-1992,129,72,-102,,,,,,
B21B0214,003,14-12-1992,124,67,-97,,,,,,
B21B0214,003,14-01-1993,132,75,-105,,,,,,
B21B0214,003,28-01-1993,126,69,-99,,,,,,
B21B0214,003,15-02-1993,157,100,-130,,,,,,
B21B0214,003,26-02-1993,159,102,-132,,,,,,
B21B0214,003,15-03-1993,145,88,-118,,,,,,
B21B0214,003,14-04-1993,150,93,-123,,,,,,
B21B0214,003,28-04-1993,152,95,-125,,,,,,
B21B0214,003,14-07-1993,161,104,-134,,,,,,
B21B0214,003,28-07-1993,130,73,-103,,,,,,
B21B0214,003,13-08-1993,123,66,-96,,,,,,
B21B0214,003,27-08-1993,127,70,-100,,,,,,
B21B0214,003,14-09-1993,128,71,-101,,,,,,
B21B0214,003,28-09-1993,120,63,-93,,,,,,
B21B0214,003,28-10-1993,134,77,-107,,,,,,
B21B0214,003,15-11-1993,134,77,-107,,,,,,
B21B0214,003,29-11-1993,141,84,-114,,,,,,
B21B0214,003,14-12-1993,121,64,-94,,,,,,
B21B0214,003,14-01-1994,134,77,-107,,,,,,
B21B0214,003,27-01-1994,129,72,-102,,,,,,
B21B0214,003,14-02-1994,144,87,-117,,,,,,
B21B0214,003,28-02-1994,144,87,-117,,,,,,
B21B0214,003,14-03-1994,134,77,-107,,,,,,
B21B0214,003,14-04-1994,129,72,-102,,,,,,
B21B0214,003,28-04-1994,142,85,-115,,,,,,
B21B0214,003,16-05-1994,135,78,-108,,,,,,
B21B0214,003,14-06-1994,129,72,-102,,,,,,
B21B0214,003,14-07-1994,147,90,-120,,,,,,
B21B0214,003,28-07-1994,156,99,-129,,,,,,
B21B0214,003,15-08-1994,146,89,-119,,,,,,
B21B0214,003,29-08-1994,138,81,-111,,,,,,
B21B0214,003,14-09-1994,133,76,-106,,,,,,
B21B0214,003,28-09-1994,131,74,-104,,,,,,
B21B0214,003,28-10-1994,134,77,-107,,,,,,
B21B0214,003,14-11-1994,132,75,-105,,,,,,
B21B0214,003,28-11-1994,133,76,-106,,,,,,
B21B0214,003,14-12-1994,133,76,-106,,,,,,
B21B0214,003,13-01-1995,125,68,-98,,,,,,
B21B0214,003,27-01-1995,117,60,-90,,,,,,
