Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,29-03-2021,,,,,,,,
Gegevens beschikbaar:,14-10-1988,tot:,28-11-2005,,,,,,,,
Datum: ,29-03-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B21B0214,005,21BP0214,198085,518413,-30,26-08-1988,26-08-1988,23-04-1999,23,53,-5130,-5330
B21B0214,005,21BP0214,198085,518413,-29,23-04-1999,23-04-1999,14-12-2005,21,50,-5130,-5330


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B21B0214,005,14-10-1988,120,67,-97,,,,,,
B21B0214,005,27-10-1988,128,75,-105,,,,,,
B21B0214,005,15-11-1988,135,82,-112,,,,,,
B21B0214,005,28-11-1988,136,83,-113,,,,,,
B21B0214,005,14-12-1988,126,73,-103,,,,,,
B21B0214,005,28-12-1988,122,69,-99,,,,,,
B21B0214,005,13-01-1989,127,74,-104,,,,,,
B21B0214,005,27-01-1989,136,83,-113,,,,,,
B21B0214,005,14-02-1989,129,76,-106,,,,,,
B21B0214,005,28-02-1989,131,78,-108,,,,,,
B21B0214,005,14-03-1989,126,73,-103,,,,,,
B21B0214,005,28-03-1989,125,72,-102,,,,,,
B21B0214,005,14-04-1989,126,73,-103,,,,,,
B21B0214,005,28-04-1989,132,79,-109,,,,,,
B21B0214,005,16-05-1989,138,85,-115,,,,,,
B21B0214,005,29-05-1989,144,91,-121,,,,,,
B21B0214,005,14-07-1989,136,83,-113,,,,,,
B21B0214,005,01-09-1989,134,81,-111,,,,,,
B21B0214,005,14-09-1989,127,74,-104,,,,,,
B21B0214,005,28-09-1989,135,82,-112,,,,,,
B21B0214,005,13-10-1989,132,79,-109,,,,,,
B21B0214,005,14-11-1989,138,85,-115,,,,,,
B21B0214,005,28-11-1989,143,90,-120,,,,,,
B21B0214,005,14-12-1989,137,84,-114,,,,,,
B21B0214,005,28-12-1989,131,78,-108,,,,,,
B21B0214,005,14-01-1990,138,85,-115,,,,,,
B21B0214,005,29-01-1990,130,77,-107,,,,,,
B21B0214,005,15-02-1990,121,68,-98,,,,,,
B21B0214,005,28-02-1990,118,65,-95,,,,,,
B21B0214,005,14-03-1990,128,75,-105,,,,,,
B21B0214,005,28-03-1990,136,83,-113,,,,,,
B21B0214,005,13-04-1990,147,94,-124,,,,,,
B21B0214,005,27-04-1990,134,81,-111,,,,,,
B21B0214,005,14-05-1990,129,76,-106,,,,,,
B21B0214,005,28-05-1990,139,86,-116,,,,,,
B21B0214,005,14-08-1990,143,90,-120,,,,,,
B21B0214,005,28-08-1990,132,79,-109,,,,,,
B21B0214,005,14-09-1990,131,78,-108,,,,,,
B21B0214,005,27-09-1990,133,80,-110,,,,,,
B21B0214,005,14-10-1990,135,82,-112,,,,,,
B21B0214,005,28-10-1990,152,99,-129,,,,,,
B21B0214,005,14-11-1990,126,73,-103,,,,,,
B21B0214,005,28-11-1990,116,63,-93,,,,,,
B21B0214,005,14-12-1990,130,77,-107,,,,,,
B21B0214,005,14-01-1991,121,68,-98,,,,,,
B21B0214,005,28-01-1991,140,87,-117,,,,,,
B21B0214,005,14-02-1991,183,130,-160,,,,,,
B21B0214,005,28-02-1991,135,82,-112,,,,,,
B21B0214,005,14-03-1991,135,82,-112,,,,,,
B21B0214,005,15-04-1991,144,91,-121,,,,,,
B21B0214,005,29-04-1991,143,90,-120,,,,,,
B21B0214,005,28-05-1991,133,80,-110,,,,,,
B21B0214,005,14-06-1991,131,78,-108,,,,,,
B21B0214,005,27-06-1991,117,64,-94,,,,,,
B21B0214,005,15-07-1991,123,70,-100,,,,,,
B21B0214,005,29-07-1991,130,77,-107,,,,,,
B21B0214,005,14-08-1991,139,86,-116,,,,,,
B21B0214,005,28-08-1991,146,93,-123,,,,,,
B21B0214,005,13-09-1991,144,91,-121,,,,,,
B21B0214,005,27-09-1991,135,82,-112,,,,,,
B21B0214,005,28-10-1991,142,89,-119,,,,,,
B21B0214,005,14-11-1991,127,74,-104,,,,,,
B21B0214,005,28-11-1991,135,82,-112,,,,,,
B21B0214,005,13-12-1991,142,89,-119,,,,,,
B21B0214,005,30-12-1991,137,84,-114,,,,,,
B21B0214,005,14-01-1992,131,78,-108,,,,,,
B21B0214,005,28-01-1992,140,87,-117,,,,,,
B21B0214,005,14-02-1992,137,84,-114,,,,,,
B21B0214,005,28-02-1992,145,92,-122,,,,,,
B21B0214,005,14-03-1992,138,85,-115,,,,,,
B21B0214,005,24-03-1992,126,73,-103,,,,,,
B21B0214,005,28-04-1992,132,79,-109,,,,,,
B21B0214,005,14-05-1992,140,87,-117,,,,,,
B21B0214,005,14-07-1992,146,93,-123,,,,,,
B21B0214,005,28-07-1992,154,101,-131,,,,,,
B21B0214,005,27-08-1992,136,83,-113,,,,,,
B21B0214,005,14-09-1992,131,78,-108,,,,,,
B21B0214,005,28-09-1992,141,88,-118,,,,,,
B21B0214,005,14-10-1992,144,91,-121,,,,,,
B21B0214,005,28-10-1992,130,77,-107,,,,,,
B21B0214,005,13-11-1992,133,80,-110,,,,,,
B21B0214,005,27-11-1992,130,77,-107,,,,,,
B21B0214,005,14-12-1992,123,70,-100,,,,,,
B21B0214,005,14-01-1993,133,80,-110,,,,,,
B21B0214,005,28-01-1993,129,76,-106,,,,,,
B21B0214,005,15-02-1993,156,103,-133,,,,,,
B21B0214,005,26-02-1993,156,103,-133,,,,,,
B21B0214,005,15-03-1993,141,88,-118,,,,,,
B21B0214,005,14-04-1993,148,95,-125,,,,,,
B21B0214,005,28-04-1993,149,96,-126,,,,,,
B21B0214,005,14-07-1993,158,105,-135,,,,,,
B21B0214,005,13-08-1993,121,68,-98,,,,,,
B21B0214,005,27-08-1993,125,72,-102,,,,,,
B21B0214,005,14-09-1993,125,72,-102,,,,,,
B21B0214,005,28-09-1993,118,65,-95,,,,,,
B21B0214,005,28-10-1993,132,79,-109,,,,,,
B21B0214,005,15-11-1993,133,80,-110,,,,,,
B21B0214,005,29-11-1993,141,88,-118,,,,,,
B21B0214,005,14-12-1993,120,67,-97,,,,,,
B21B0214,005,14-01-1994,135,82,-112,,,,,,
B21B0214,005,27-01-1994,128,75,-105,,,,,,
B21B0214,005,14-02-1994,146,93,-123,,,,,,
B21B0214,005,28-02-1994,144,91,-121,,,,,,
B21B0214,005,14-03-1994,132,79,-109,,,,,,
B21B0214,005,14-04-1994,131,78,-108,,,,,,
B21B0214,005,28-04-1994,142,89,-119,,,,,,
B21B0214,005,16-05-1994,132,79,-109,,,,,,
B21B0214,005,14-06-1994,130,77,-107,,,,,,
B21B0214,005,14-07-1994,147,94,-124,,,,,,
B21B0214,005,28-07-1994,155,102,-132,,,,,,
B21B0214,005,15-08-1994,145,92,-122,,,,,,
B21B0214,005,29-08-1994,139,86,-116,,,,,,
B21B0214,005,14-09-1994,132,79,-109,,,,,,
B21B0214,005,28-09-1994,132,79,-109,,,,,,
B21B0214,005,28-10-1994,134,81,-111,,,,,,
B21B0214,005,14-11-1994,132,79,-109,,,,,,
B21B0214,005,28-11-1994,133,80,-110,,,,,,
B21B0214,005,14-12-1994,133,80,-110,,,,,,
B21B0214,005,13-01-1995,125,72,-102,,,,,,
B21B0214,005,27-01-1995,116,63,-93,,,,,,
B21B0214,005,14-02-1995,120,67,-97,,,,,,
