Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,29-03-2021,,,,,,,,
Gegevens beschikbaar:,14-10-1988,tot:,28-11-2005,,,,,,,,
Datum: ,29-03-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B21B0214,002,21BP0214,198085,518413,-30,26-08-1988,26-08-1988,23-04-1999,30,60,-1530,-1730
B21B0214,002,21BP0214,198085,518413,-29,23-04-1999,23-04-1999,14-12-2005,28,57,-1530,-1730


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B21B0214,002,14-10-1988,125,65,-95,,,,,,
B21B0214,002,27-10-1988,134,74,-104,,,,,,
B21B0214,002,15-11-1988,141,81,-111,,,,,,
B21B0214,002,28-11-1988,142,82,-112,,,,,,
B21B0214,002,14-12-1988,132,72,-102,,,,,,
B21B0214,002,28-12-1988,128,68,-98,,,,,,
B21B0214,002,13-01-1989,134,74,-104,,,,,,
B21B0214,002,27-01-1989,142,82,-112,,,,,,
B21B0214,002,14-02-1989,136,76,-106,,,,,,
B21B0214,002,28-02-1989,137,77,-107,,,,,,
B21B0214,002,14-03-1989,132,72,-102,,,,,,
B21B0214,002,28-03-1989,131,71,-101,,,,,,
B21B0214,002,14-04-1989,132,72,-102,,,,,,
B21B0214,002,28-04-1989,137,77,-107,,,,,,
B21B0214,002,16-05-1989,143,83,-113,,,,,,
B21B0214,002,29-05-1989,151,91,-121,,,,,,
B21B0214,002,14-07-1989,142,82,-112,,,,,,
B21B0214,002,01-09-1989,139,79,-109,,,,,,
B21B0214,002,14-09-1989,132,72,-102,,,,,,
B21B0214,002,28-09-1989,140,80,-110,,,,,,
B21B0214,002,13-10-1989,138,78,-108,,,,,,
B21B0214,002,14-11-1989,143,83,-113,,,,,,
B21B0214,002,28-11-1989,149,89,-119,,,,,,
B21B0214,002,14-12-1989,143,83,-113,,,,,,
B21B0214,002,28-12-1989,137,77,-107,,,,,,
B21B0214,002,14-01-1990,145,85,-115,,,,,,
B21B0214,002,29-01-1990,136,76,-106,,,,,,
B21B0214,002,15-02-1990,128,68,-98,,,,,,
B21B0214,002,28-02-1990,127,67,-97,,,,,,
B21B0214,002,14-03-1990,134,74,-104,,,,,,
B21B0214,002,28-03-1990,142,82,-112,,,,,,
B21B0214,002,13-04-1990,144,84,-114,,,,,,
B21B0214,002,27-04-1990,140,80,-110,,,,,,
B21B0214,002,14-05-1990,136,76,-106,,,,,,
B21B0214,002,28-05-1990,144,84,-114,,,,,,
B21B0214,002,14-08-1990,149,89,-119,,,,,,
B21B0214,002,28-08-1990,145,85,-115,,,,,,
B21B0214,002,14-09-1990,137,77,-107,,,,,,
B21B0214,002,27-09-1990,148,88,-118,,,,,,
B21B0214,002,14-10-1990,140,80,-110,,,,,,
B21B0214,002,28-10-1990,140,80,-110,,,,,,
B21B0214,002,14-11-1990,134,74,-104,,,,,,
B21B0214,002,28-11-1990,125,65,-95,,,,,,
B21B0214,002,14-12-1990,150,90,-120,,,,,,
B21B0214,002,14-01-1991,126,66,-96,,,,,,
B21B0214,002,28-01-1991,142,82,-112,,,,,,
B21B0214,002,14-02-1991,186,126,-156,,,,,,
B21B0214,002,28-02-1991,139,79,-109,,,,,,
B21B0214,002,14-03-1991,144,84,-114,,,,,,
B21B0214,002,15-04-1991,149,89,-119,,,,,,
B21B0214,002,29-04-1991,154,94,-124,,,,,,
B21B0214,002,28-05-1991,139,79,-109,,,,,,
B21B0214,002,14-06-1991,137,77,-107,,,,,,
B21B0214,002,27-06-1991,120,60,-90,,,,,,
B21B0214,002,15-07-1991,129,69,-99,,,,,,
B21B0214,002,29-07-1991,136,76,-106,,,,,,
B21B0214,002,14-08-1991,145,85,-115,,,,,,
B21B0214,002,28-08-1991,152,92,-122,,,,,,
B21B0214,002,13-09-1991,150,90,-120,,,,,,
B21B0214,002,27-09-1991,138,78,-108,,,,,,
B21B0214,002,28-10-1991,147,87,-117,,,,,,
B21B0214,002,14-11-1991,127,67,-97,,,,,,
B21B0214,002,28-11-1991,141,81,-111,,,,,,
B21B0214,002,13-12-1991,148,88,-118,,,,,,
B21B0214,002,30-12-1991,147,87,-117,,,,,,
B21B0214,002,14-01-1992,130,70,-100,,,,,,
B21B0214,002,28-01-1992,144,84,-114,,,,,,
B21B0214,002,14-02-1992,143,83,-113,,,,,,
B21B0214,002,28-02-1992,148,88,-118,,,,,,
B21B0214,002,14-03-1992,144,84,-114,,,,,,
B21B0214,002,24-03-1992,131,71,-101,,,,,,
B21B0214,002,28-04-1992,138,78,-108,,,,,,
B21B0214,002,14-05-1992,146,86,-116,,,,,,
B21B0214,002,14-07-1992,151,91,-121,,,,,,
B21B0214,002,28-07-1992,153,93,-123,,,,,,
B21B0214,002,27-08-1992,141,81,-111,,,,,,
B21B0214,002,14-09-1992,136,76,-106,,,,,,
B21B0214,002,28-09-1992,146,86,-116,,,,,,
B21B0214,002,14-10-1992,150,90,-120,,,,,,
B21B0214,002,28-10-1992,135,75,-105,,,,,,
B21B0214,002,13-11-1992,133,73,-103,,,,,,
B21B0214,002,27-11-1992,127,67,-97,,,,,,
B21B0214,002,14-12-1992,125,65,-95,,,,,,
B21B0214,002,14-01-1993,130,70,-100,,,,,,
B21B0214,002,28-01-1993,125,65,-95,,,,,,
B21B0214,002,15-02-1993,153,93,-123,,,,,,
B21B0214,002,26-02-1993,150,90,-120,,,,,,
B21B0214,002,15-03-1993,147,87,-117,,,,,,
B21B0214,002,14-04-1993,149,89,-119,,,,,,
B21B0214,002,28-04-1993,150,90,-120,,,,,,
B21B0214,002,14-07-1993,159,99,-129,,,,,,
B21B0214,002,28-07-1993,131,71,-101,,,,,,
B21B0214,002,13-08-1993,123,63,-93,,,,,,
B21B0214,002,27-08-1993,127,67,-97,,,,,,
B21B0214,002,14-09-1993,129,69,-99,,,,,,
B21B0214,002,28-09-1993,118,58,-88,,,,,,
B21B0214,002,28-10-1993,135,75,-105,,,,,,
B21B0214,002,15-11-1993,133,73,-103,,,,,,
B21B0214,002,29-11-1993,142,82,-112,,,,,,
B21B0214,002,14-12-1993,120,60,-90,,,,,,
B21B0214,002,14-01-1994,135,75,-105,,,,,,
B21B0214,002,27-01-1994,130,70,-100,,,,,,
B21B0214,002,14-02-1994,147,87,-117,,,,,,
B21B0214,002,28-02-1994,143,83,-113,,,,,,
B21B0214,002,14-03-1994,135,75,-105,,,,,,
B21B0214,002,14-04-1994,131,71,-101,,,,,,
B21B0214,002,28-04-1994,141,81,-111,,,,,,
B21B0214,002,16-05-1994,136,76,-106,,,,,,
B21B0214,002,14-06-1994,130,70,-100,,,,,,
B21B0214,002,14-07-1994,148,88,-118,,,,,,
B21B0214,002,28-07-1994,158,98,-128,,,,,,
B21B0214,002,15-08-1994,145,85,-115,,,,,,
B21B0214,002,29-08-1994,140,80,-110,,,,,,
B21B0214,002,14-09-1994,132,72,-102,,,,,,
B21B0214,002,28-09-1994,132,72,-102,,,,,,
B21B0214,002,28-10-1994,135,75,-105,,,,,,
B21B0214,002,14-11-1994,131,71,-101,,,,,,
B21B0214,002,28-11-1994,132,72,-102,,,,,,
B21B0214,002,14-12-1994,134,74,-104,,,,,,
B21B0214,002,13-01-1995,127,67,-97,,,,,,
B21B0214,002,27-01-1995,116,56,-86,,,,,,
